Generate MITRE matrix list,This search formats the MITRE Attack framework table into a list format.,always,24h,"| mitremap

| transpose 100 column_name=""Tactic""

| rename ""row *"" AS technique_*

| untable Tactic Technique_Order Technique

| eval Technique_Order=substr(Technique_Order,11,2)

| sort Technique_Order

| streamstats count AS Tactic_Order

| eval Tactic_Order=if(Technique_Order=""1"",Tactic_Order,null)

| sort Tactic Tactic_Order

| filldown Tactic_Order

| sort Tactic_Order Technique_Order

| eval Matrix=""Enterprise ATT&CK""

| table Matrix Tactic Tactic_Order Technique Technique_Order

| outputlookup mitre_matrix_list.csv"
getIndexesList,"Get indexes information from the indexers, this search is needed to populate the cloud indexes manager page.",always,24h,"| rest splunk_server=idx* /services/data/indexes datatype=all search=""isInternal=0"" f=eai:acl* 
f=datatype f=storage_tier f=disabled f=frozenTimePeriodInSecs f=isVirtual f=max*SizeMB f=archiver* 
f=title f=metric.timestampResolution 

| stats values(eai:acl.app) as eai:acl.app 

        values(datatype) as datatype 

        values(storage_tier) as storage_tier 

        values(disabled) as disabled 

        values(frozenTimePeriodInSecs) as frozenTimePeriodInSecs 

        values(isVirtual) as isVirtual 

        values(maxTotalDataSizeMB) as maxTotalDataSizeMB 

        values(maxGlobalDataSizeMB) as maxGlobalDataSizeMB 

        values(maxGlobalRawDataSizeMB) as maxGlobalRawDataSizeMB 

        values(archiver.selfStorageProvider) as archiver.selfStorageProvider 

        values(archiver.selfStorageBucket) as archiver.selfStorageBucket 

        values(archiver.selfStorageBucketFolder) as archiver.selfStorageBucketFolder 

        values(archiver.coldStorageProvider) as archiver.coldStorageProvider 

        values(archiver.coldStorageRetentionPeriod) as archiver.coldStorageRetentionPeriod 

        values(archiver.enableDataArchive) as archiver.enableDataArchive 

        values(archiver.maxDataArchiveRetentionPeriod) as archiver.maxDataArchiveRetentionPeriod 

        values(metric.timestampResolution) as metric.timestampResolution 

        by title 

| join type=outer title [rest splunk_server=local count=0 /services/data/distributed-indexes 

                         | fields title rawSizeBytes eventCount startEpoch endEpoch 

                         | rename eventCount AS totalEventCount startEpoch AS minTime endEpoch AS 
maxTime] 

| eval totalRawSizeMB = if(isnotnull(rawSizeBytes), round(rawSizeBytes / 1024 / 1024, 2), 0) 

| eval totalEventCount = if(isnotnull(totalEventCount), totalEventCount, 0)"
getMetricTransformsList,Get the list of metric schema transforms for all the indexers,always,24h,|rest splunk_server=idx*  /services/data/transforms/metric-schema
HEC Plugin Queue Length,,always,24h,"`k8s-event-index` sourcetype=""fluentd:monitor-agent"" output_plugin=true type=splunk_hec | timechart 
max(buffer_queue_length) as ""Queue Length"""
HEC Plugin Queue Size,,always,24h,"`k8s-event-index` sourcetype=""fluentd:monitor-agent"" output_plugin=true type=splunk_hec | timechart 
avg(buffer_total_queued_size) as ""Queue Size"""
HEC Plugin Retry Count,,always,24h,"`k8s-event-index` sourcetype=""fluentd:monitor-agent"" output_plugin=true type=splunk_hec | timechart  
sum(retry_count) as ""Retry Count"""
instrumentation.anonymized.eventsByTime,,always,24h,"(index=_introspection OR index=_telemetry) sourcetype=splunk_telemetry source=""http-stream"" 
visibility=*anonymous* | append [| savedsearch instrumentation.licenseUsage]"
instrumentation.anonymous.firstEvent,,always,24h,"(index=_introspection OR index=_telemetry) sourcetype=splunk_telemetry source=""http-stream"" 
visibility=*anonymous* | append [savedsearch instrumentation.licenseUsage] | where date >= 
""$beginDate$"" AND date <= ""$endDate$"" | head 1"
instrumentation.authentication.jwt,,always,24h,"| rest splunk_server=local /services/properties/authorize/tokens_auth/disabled | table value | 
rename value as disabled | appendcols [| search index=_audit action=create_token | stats count | 
rename count as created] | appendcols [| rest splunk_server=local 
/services/configs/conf-authentication |  eval test=if(isnull(scriptPath), 0, 1) | table test | stats 
sum | rename sum(test) as scriptedExtensionsEnabled] | appendcols [| search index = _internal 
source=*/splunkd.log jsonwebtoken validation failed | stats count | rename count as failures] | 
makejson output=data"
instrumentation.deployment.app,,always,24h,"| rest /services/apps/local | eval _time=now() | fields splunk_server title updated version disabled 
| eval 
data=""{\""host\"":\""""+splunk_server+""\"",\""name\"":\""""+title+""\"",\""version\"":\""""+coalesce(version, 
"""")+""\"",\""enabled\"":""+if(disabled=0, ""true"", ""false"")+""}"" | eval date=strftime(_time, ""%Y-%m-%d"") | 
fields data _time date"
instrumentation.deployment.clustering.indexer,,always,24h,"| makeresults annotate=true | append [localop | rest /services/cluster/config] | sort -mode | head 1 
| eval 
data=if(mode==""master"",""{\""host\"":\""""+splunk_server+""\"",\""timezone\"":\""""+strftime(now(),""%z"")+""\"",\""
multiSite\"":""+multisite+"",\""summaryReplication\"":""+if(summary_replication=1,""true"",""false"")+"",\""enab
led\"":true,\""replicationFactor\"":""+tostring(replication_factor)+"",\""siteReplicationFactor\"":""+coales
ce(replace(replace(site_replication_factor, ""origin"", ""\""origin\""""), ""total"", ""\""total\""""), 
""null"")+"",\""siteSearchFactor\"":""+coalesce(replace(replace(site_search_factor, ""origin"", 
""\""origin\""""), ""total"", 
""\""total\""""),""null"")+"",\""searchFactor\"":""+tostring(search_factor)+""}"",""{\""host\"":\""""+splunk_server+""
\"",\""timezone\"":\""""+strftime(now(),""%z"")+""\"",\""enabled\"":false}"") | eval _time=now() | eval 
date=strftime(_time, ""%Y-%m-%d"") | fields _time date data"
instrumentation.deployment.featureFlags,,always,24h,"| rest /services/properties splunk_server=local | rename title as conf |  map maxsearches=200 
search=""| rest /services/properties/$conf$ fillContents=1 | rename title as featureFlag  | search 
featureFlag=_feature-flag*"" | fields featureFlag, name, creationDate, disabled, description |  
makejson featureFlag, name, description, disabled, creationDate output=data | outputtelemetry 
input=data anonymous=true support=true component=""deployment.featureFlags"" optinrequired=3 
type=event"
instrumentation.deployment.forwarders,,always,24h,"index=_internal source=*metrics.log* TERM(group=tcpin_connections) (TERM(connectionType=cooked) OR 
TERM(connectionType=cookedSSL)) fwdType=* guid=* | rename sourceIp as forwarderHost | eval 
connectionType=case(fwdType==""uf"" or fwdType==""lwf"" or fwdType==""full"", fwdType, 1==1,""Splunk 
fwder"") | eval version=if(isnull(version),""pre 4.2"",version) | bin _time span=1d | stats sum(kb) as 
kb, latest(connectionType) as connectionType, latest(arch) as arch, latest(os) as os, 
latest(version) as version latest(forwarderHost) as forwarderHost by guid _time | stats 
estdc(forwarderHost) as numHosts estdc(guid) as numInstances 
`instrumentation_distribution_values(kb)` by connectionType arch os version _time | eval 
data=""{\""hosts\"":""+tostring(numHosts)+"",\""instances\"":""+tostring(numInstances)+"",\""architecture\"":\""
""+arch+""\"",\""os\"":\""""+os+""\"",\""splunkVersion\"":\""""+version+""\"",\""type\"":\""""+connectionType+""\"",\""byt
es\"":{"" + `instrumentation_distribution_strings(""kb"",1024,0)` + ""}}"" | eval date=strftime(_time, 
""%Y-%m-%d"") | fields _time date data"
instrumentation.deployment.index,,always,24h,"| rest /services/data/indexes | join type=outer splunk_server title [| rest 
/services/data/indexes-extended] 

| append [| rest /services/data/indexes datatype=metric | join type=outer splunk_server title [| 
rest /services/data/indexes-extended datatype=metric]] 

| eval warm_bucket_size = if(isnotnull('bucket_dirs.home.warm_bucket_size'), 
'bucket_dirs.home.warm_bucket_size', 'bucket_dirs.home.size') 

| eval cold_bucket_size_gb = tostring(round(coalesce('bucket_dirs.cold.bucket_size', 
'bucket_dirs.cold.size', 0) / 1024, 2)) 

| eval warm_bucket_size_gb = tostring(round(coalesce(warm_bucket_size,0) / 1024, 2)) 

| eval hot_bucket_size = tostring(round(coalesce(total_size / 1024 - cold_bucket_size_gb - 
warm_bucket_size_gb, 0),2)) 

| eval hot_bucket_size_gb = tostring(round(coalesce(hot_bucket_size,0) / 1024, 2)) 

| eval thawed_bucket_size_gb = tostring(round(coalesce('bucket_dirs.thawed.bucket_size', 
'bucket_dirs.thawed.size',0) / 1024, 2)) 

| eval warm_bucket_count = tostring(coalesce('bucket_dirs.home.warm_bucket_count', 0)) 

| eval hot_bucket_count = tostring(coalesce('bucket_dirs.home.hot_bucket_count',0)) 

| eval cold_bucket_count = tostring(coalesce('bucket_dirs.cold.bucket_count',0)) 

| eval thawed_bucket_count = tostring(coalesce('bucket_dirs.thawed.bucket_count',0)) 

| eval home_event_count = tostring(coalesce('bucket_dirs.home.event_count',0)) 

| eval cold_event_count = tostring(coalesce('bucket_dirs.cold.event_count',0)) 

| eval thawed_event_count = tostring(coalesce('bucket_dirs.thawed.event_count',0)) 

| eval home_bucket_capacity_gb = coalesce(if('homePath.maxDataSizeMB' == 0, ""\""unlimited\"""", 
round('homePath.maxDataSizeMB' / 1024, 2)), ""\""unlimited\"""") 

| eval cold_bucket_capacity_gb = coalesce(if('coldPath.maxDataSizeMB' == 0, ""\""unlimited\"""", 
round('coldPath.maxDataSizeMB' / 1024, 2)), ""\""unlimited\"""") 

| eval currentDBSizeGB = tostring(round(coalesce(currentDBSizeMB,0) / 1024, 2)) 

| eval maxTotalDataSizeGB = tostring(if(maxTotalDataSizeMB = 0, ""unlimited"", 
coalesce(round(maxTotalDataSizeMB / 1024, 2), ""null""))) 

| eval minTime = tostring(coalesce(strptime(minTime,""%Y-%m-%dT%H:%M:%S%z""),""null"")) 

| eval maxTime = tostring(coalesce(strptime(maxTime,""%Y-%m-%dT%H:%M:%S%z""),""null"")) 

| eval total_bucket_count = tostring(if(isnotnull(total_bucket_count), total_bucket_count, 0)) 

| eval totalEventCount = tostring(coalesce(totalEventCount, 0)) 

| eval total_raw_size_gb = tostring(coalesce(round(total_raw_size / 1024, 2), ""null"")) 

| eval timeResolution = IF('metric.timestampResolution'==""ms"",""millisec"",""sec"") 

| eval index_type = coalesce(datatype ,""event"") 

| rename eai:acl.app as App 

| eval _time=now() 

| fields splunk_server, title,index_type, timeResolution,

currentDBSizeGB, totalEventCount, total_bucket_count, 

total_raw_size_gb, minTime, maxTime, home_bucket_capacity_gb, cold_bucket_capacity_gb, 

hot_bucket_size_gb, warm_bucket_size_gb, cold_bucket_size_gb, thawed_bucket_size_gb, 

hot_bucket_count, warm_bucket_count, cold_bucket_count, thawed_bucket_count, 

home_event_count, cold_event_count, thawed_event_count, 

maxTotalDataSizeGB, maxHotBuckets, maxWarmDBCount App _time 

| eval 
data=""{\""host\"":\""""+splunk_server+""\"",\""name\"":\""""+title+""\"",\""type\"":\""""+index_type+""\"",\""timeResol
ution\"":\""""+timeResolution+""\"",\""app\"":\""""+App+""\"",\""total\"":{\""currentDBSizeGB\"":""+currentDBSizeGB+
"",\""maxDataSizeGB\"":""+maxTotalDataSizeGB+"",\""events\"":""+totalEventCount+"",\""buckets\"":""+total_bucket
_count+"",\""rawSizeGB\"":""+total_raw_size_gb+"",\""minTime\"":""+minTime+"",\""maxTime\"":""+maxTime+""},\""buck
ets\"":{\""homeCapacityGB\"":""+home_bucket_capacity_gb+"",\""homeEventCount\"":""+home_event_count+"",\""cold
CapacityGB\"":""+cold_bucket_capacity_gb+"",\""hot\"":{\""sizeGB\"":""+hot_bucket_size_gb+"",\""count\"":""+hot_
bucket_count+"",\""max\"":""+maxHotBuckets+""},\""warm\"":{\""sizeGB\"":""+warm_bucket_size_gb+"",\""count\"":""+w
arm_bucket_count+""},\""cold\"":{\""sizeGB\"":""+cold_bucket_size_gb+"",\""count\"":""+cold_bucket_count+"",\""e
vents\"":""+cold_event_count+""},\""thawed\"":{\""sizeGB\"":""+thawed_bucket_size_gb+"",\""count\"":""+thawed_bu
cket_count+"",\""events\"":""+thawed_event_count+""}}}"" 

| eval date=strftime(_time, ""%Y-%m-%d"") | fields data _time date"
instrumentation.deployment.node,,always,24h,"index=_introspection sourcetype=splunk_disk_objects component::Partitions | bin _time span=1d | 
stats latest(data.free) as partitionFree, latest(data.capacity) as partitionCapacity by host 
data.fs_type data.mount_point _time | eval 
partitionUtilized=round(1-partitionFree/partitionCapacity,2) | eval 
partitions=""{\""utilization\"":""+`instrumentation_number_format(partitionUtilized,1,2)`+"",\""capacity\""
:""+`instrumentation_number_format(partitionCapacity,1048576,0)`+"",\""fileSystem\"":\""""+'data.fs_type' 
+ ""\""}"" | stats delim="","" values(partitions) as partitions by host _time | rename _time as date | 
mvcombine partitions | rename date as _time | join type=left host _time [search index=_introspection 
sourcetype=splunk_resource_usage component::Hostwide | eval cpuUsage = 'data.cpu_system_pct' + 
'data.cpu_user_pct' | rename data.mem_used as memUsage | bin _time span=1d | stats 
latest(data.cpu_count) as coreCount, latest(data.virtual_cpu_count) as virtualCoreCount, 
latest(data.mem) as memAvailable, latest(data.splunk_version) as splunkVersion, 
latest(data.cpu_arch) as cpuArch, latest(data.os_name) as osName, latest(data.os_name_ext) as 
osNameExt, latest(data.os_version) as osVersion, `instrumentation_distribution_values(cpuUsage)`, 
`instrumentation_distribution_values(memUsage)`, latest(data.instance_guid) as guid by host _time] | 
fillnull value=""null"" coreCount virtualCoreCount memAvailable | eval 
splunkVersion=coalesce(""\""""+splunkVersion+""\"""", ""null""), cpuArch=coalesce(""\""""+cpuArch+""\"""", 
""null""), osName=coalesce(""\""""+osName + ""\"""", ""null""), osNameExt=coalesce(""\""""+osNameExt+""\"""", 
""null""), osVersion=coalesce(""\""""+osVersion+""\"""", ""null""), guid=coalesce(""\""""+guid+""\"""", ""null"") | 
eval data = ""{\""guid\"":""+guid+"",\""host\"":\""""+replace(host,""\"""", ""\\\"""")+""\"",\""partitions\"": "" + 
coalesce(""["" + partitions + ""]"", ""null"") + "",\""cpu\"":{\""architecture\"":""+cpuArch+"",\""coreCount\"":"" + 
tostring(coreCount)+ "",\""virtualCoreCount\"":""+tostring(virtualCoreCount)+"",\""utilization\"":{"" + 
`instrumentation_distribution_strings(""cpuUsage"",.01,2)` + ""}},\""memory\"":""+""{\""capacity\"":""+ 
`instrumentation_number_format(memAvailable,1048576,0)`+"",\""utilization\"":{"" + 
`instrumentation_distribution_strings(""memUsage"",1/memAvailable,2)` + 
""}},\""os\"":""+osName+"",\""osExt\"":""+osNameExt + 
"",\""osVersion\"":""+osVersion+"",\""splunkVersion\"":""+splunkVersion+""}"" | eval date=strftime(_time, 
""%Y-%m-%d"") | fields _time date data"
instrumentation.lastSent,,always,24h,"index=_telemetry source=telemetry sourcetype=splunk_telemetry_log status=success | fillnull 
value=anonymous visibility | eval anonymous_send_time = if(visibility LIKE ""%anonymous%"", _time, 
null) | eval license_send_time = if(visibility LIKE ""%license%"", _time, null) | eval 
support_send_time = if(visibility LIKE ""%support%"", _time, null) | stats latest(anonymous_send_time) 
as latest_anonymous_send_time latest(license_send_time) as latest_license_send_time 
latest(support_send_time) as latest_support_send_time"
instrumentation.license.firstEvent,,always,24h,"| savedsearch instrumentation.licenseUsage | where date >= ""$beginDate$"" AND date <= ""$endDate$"" | 
head 1"
instrumentation.licenseUsage,,always,24h,"NOT() | append [search index=_telemetry type=RolloverSummary | eval date=strftime(_time-43200, 
""%Y-%m-%d"") | eval 
licenseIDs=coalesce(replace(replace(replace(replace(licenseGuids,""\["",""[\""""),""\]"",""\""]""),"","",""\"",\""""
),"" "", """"),""null""), subgroup_id=coalesce(subgroupId, ""Production""), 
group_id=coalesce(""\""""+licenseGroup+""\"""", ""null""), lmGuid=coalesce(""\""""+guid+""\"""", ""null""), 
productType=coalesce(""\""""+productType+""\"""", ""null""), 
type_id=if(substr(stack,1,16)=""fixed-sourcetype"", ""fixed-sourcetype"",stack) | stats max(_time) as 
lastTime latest(stacksz) as stack_quota, latest(poolsz) as pool_quota, sum(b) as consumption by pool 
stack host lmGuid licenseIDs type_id group_id subgroup_id productType date | rename stack as 
stack_id | eval pool=""{\""quota\"":"" + pool_quota+"",\""consumption\"":""+consumption+""}"" | stats 
delim="","" values(pool) as pools, max(lastTime) as lastTime max(stack_quota) as stack_quota 
sum(consumption) as stack_consumption by stack_id group_id subgroup_id type_id lmGuid host 
licenseIDs productType date | mvcombine pools | eval 
_raw=""{\""component\"":\""licensing.stack\"",\""data\"":{\""host\"":\""""+host+""\"",\""guid\"":""+lmGuid+"",\""name\
"":\""""+replace(stack_id,""\"""", ""\\\"""")+""\"",\""type\"":\"""" + type_id + ""\"",\""subgroup\"":\"""" + subgroup_id 
+ ""\"",\""product\"":""+productType+"",\""quota\"":"" + 
stack_quota+"",\""consumption\"":""+stack_consumption+"",\""pools\"":[""+pools+""],\""licenseIDs\"":""+licenseID
s+""}, \""date\"":\""""+date+""\"",\""visibility\"":\""anonymous,license\""}"", _time=lastTime]"
instrumentation.licensing.stack,,always,24h,"index=_telemetry source=*license_usage_summary.log* sourcetype=splunkd TERM(type=RolloverSummary) | 
eval date=strftime(_time, ""%m-%d-%Y""), 
licenseIDs=coalesce(replace(replace(replace(replace(licenseGuids,""\["",""[\""""),""\]"",""\""]""),"","",""\"",\""""
),"" "", """"),""null""), subgroup_id=coalesce(subgroupId, ""Production""), 
group_id=coalesce(""\""""+licenseGroup+""\"""", ""null""), lmGuid=coalesce(""\""""+guid+""\"""", ""null""), 
productType=coalesce(""\""""+productType+""\"""", ""null""), 
type_id=if(substr(stack,1,16)=""fixed-sourcetype"", ""fixed-sourcetype"",stack) | stats latest(stacksz) 
as stack_quota, latest(poolsz) as pool_quota, sum(b) as consumption by pool stack host lmGuid 
licenseIDs type_id group_id subgroup_id productType date | rename stack as stack_id | eval 
pool=""{\""quota\"":"" + pool_quota+"",\""consumption\"":""+consumption+""}"" | stats delim="","" values(pool) 
as pools, max(stack_quota) as stack_quota sum(consumption) as stack_consumption by stack_id group_id 
subgroup_id type_id lmGuid host licenseIDs productType date | mvcombine pools | eval 
data=""{\""host\"":\""""+host+""\"",\""guid\"":""+lmGuid+"",\""name\"":\""""+replace(stack_id,""\"""", 
""\\\"""")+""\"",\""type\"":\"""" + type_id + ""\"",\""subgroup\"":\"""" + subgroup_id + 
""\"",\""product\"":""+productType+"",\""quota\"":"" + 
stack_quota+"",\""consumption\"":""+stack_consumption+"",\""pools\"":[""+pools+""],\""licenseIDs\"":""+licenseID
s+""}"" | eval _time=strptime(date, ""%m-%d-%Y"")-43200 | fields data _time"
instrumentation.performance.bundleReplication,,always,24h,"index=_internal source=*/metrics.log TERM(group=bundles_uploads) | bin _time span=1d | stats count 
as bundles_uploads_count avg(peer_count) as avg_peer_count avg(average_baseline_bundle_bytes) as 
avg_baseline_bundle_bytes max(average_baseline_bundle_bytes) as max_baseline_bundle_bytes 
avg(average_delta_bundle_bytes) as avg_delta_bundle_bytes max(average_delta_bundle_bytes) as 
max_delta_bundle_bytes sum(total_count) as total_count sum(delta_count) as total_delta_count 
sum(success_count) as total_success_count sum(baseline_count) as total_baseline_count 
sum(already_present_count) as total_already_present_count sum(total_msec_spent) as total_msec_spent 
sum(delta_msec_spent) as total_delta_msec_spent sum(total_bytes) as total_bytes sum(delta_bytes) as 
total_delta_bytes by host _time | makejson output=data | eval date=strftime(_time, ""%Y-%m-%d"") | 
fields _time date data"
instrumentation.performance.bundleReplicationCycle,,always,24h,"index=_internal source=*/metrics.log splunk_server=local TERM(group=bundle_replication) 
TERM(name=cycle_dispatch) 

| stats count(cycle_id) as cycleCount avg(peer_count) as avgPeerCount avg(peer_success_count) as 
avgPeerSuccessCount avg(replication_time_msec) as avgReplicationTimeMsec avg(bundle_bytes) as 
avgBundleBytes avg(delta_bundle_bytes) as avgDeltaBundleBytes 

| appendcols [| rest /services/search/distributed/bundle/replication/config splunk_server=local | 
fields replicationPolicy] 

| eval avgPeerCount=round(avgPeerCount,2) | eval avgPeerSuccessCount=round(avgPeerSuccessCount,2) 

| eval avgReplicationTimeMsec=round(avgReplicationTimeMsec,2) | eval 
avgBundleBytes=round(avgBundleBytes,2) | eval avgDeltaBundleBytes=round(avgDeltaBundleBytes,2) 

| makejson output=data | eval _time=now(), date=strftime(_time, ""%Y-%m-%d"") | fields _time date data"
instrumentation.performance.indexing,,always,24h,"index=_internal TERM(group=thruput) TERM(name=index_thruput) source=*metrics.log* | bin _time 
span=30s | stats sum(kb) as kb sum(instantaneous_kbps) as instantaneous_kbps by host _time | bin 
_time span=1d | stats sum(kb) as totalKB `instrumentation_distribution_values(instantaneous_kbps)` 
by host _time | eval data=""{\""host\"":\""""+host+""\"",\""thruput\"":{\""total\"":"" + 
tostring(round(totalKB*1024)) + "","" + 
`instrumentation_distribution_strings(""instantaneous_kbps"",1024,0)`+""}}"" | eval date=strftime(_time, 
""%Y-%m-%d"") | fields _time date data"
instrumentation.performance.search,,always,24h,"index=_audit sourcetype=audittrail TERM(action=search) TERM(info=completed) total_run_time=* | eval 
search_et=if(search_et=""N/A"", 0, search_et) | eval search_lt=if(search_lt=""N/A"", exec_time, 
min(exec_time,search_lt)) | eval timerange=search_lt-search_et | bin _time span=1d | stats 
latest(searched_buckets) as searched_buckets latest(total_slices) as total_slices latest(scan_count) 
as scan_count latest(timerange) as timerange latest(total_run_time) as runtime by search_id _time | 
stats `instrumentation_distribution_values(runtime)`, 
`instrumentation_distribution_values(searched_buckets)`, 
`instrumentation_distribution_values(total_slices)`, 
`instrumentation_distribution_values(scan_count)`, `instrumentation_distribution_values(timerange)` 
count as numSearches by _time | eval 
data=""{\""searches\"":""+tostring(numSearches)+"",\""latency\"":{""+`instrumentation_distribution_strings(""
runtime"",1,2)`+""},\""buckets\"":{""+`instrumentation_distribution_strings(""searched_buckets"",1,2)`+""},\
""slices\"":{""+`instrumentation_distribution_strings(""total_slices"",1,2)`+""},\""scanCount\"":{""+`instrum
entation_distribution_strings(""scan_count"",1,2)`+""},\""dayRange\"":{""+`instrumentation_distribution_st
rings(""timerange"",1/86400,2)`+""}}"" | eval date=strftime(_time, ""%Y-%m-%d"") | fields _time date data"
instrumentation.reporting,,always,24h,"index=_telemetry source=telemetry sourcetype=splunk_telemetry_log | fields _raw | spath | eval 
time_formatted = strftime(_time, ""%Y-%m-%d %H:%M:%S"") | search (status=success OR status=failed)"
