Title,Description,Alert Type,Alert Expires,Search 
Events by timeacross all prod indexs,,Always,24h,"| tstats prestats=t count WHERE index=prod_* AND sourcetype=""*"" BY sourcetype, _time, indextime span=1m
| timechart count BY sourcetype span=1h"
Events going into all known AWS Accounts,Lists all the accounts in  AWSAccountAlias with a count of each,Always,24h,"index=prod_aws 
| rename aws_account_id as AccountID
| stats count by AccountID
| inputlookup append=true AWSAccountAlias
| fillnull count 
| stats sum(count) as count by AccountID
| sort -count
| lookup AWSAccountAlias AccountID as AccountID OUTPUT AccountName, Description
| table AccountID, AccountName, Description, count"
Firewall Block Analysis,,Always,24h,"| tstats summariesonly=t count FROM datamodel=Network_Traffic WHERE 
    All_Traffic.dest_ip IN (
    )
    All_Traffic.src_ip IN (
    ""0.0.0.0"",
    ""10.*"",
    ""192.168.*"",
    ""172.16.*"",
    ""172.17.*"",
    ""172.18.*"",
    ""172.19.*"",
    ""172.20.*"",
    ""172.21.*"",
    ""172.22.*"",
    ""172.23.*"",
    ""172.24.*"",
    ""172.25.*"",
    ""172.26.*"",
    ""172.27.*"",
    ""172.28.*"",
    ""172.29.*"",
    ""172.30.*"",
    ""172.31.*"",
    ""255.255.255.255""
    )
    NOT All_Traffic.dvc IN (
        ""10.60.10.252"",
        ""10.60.10.253"",
        ""10.60.73.252"",
        ""10.60.73.253"",
        ""172.18.248.123"",
        ""172.18.248.125""
    ) 
    NOT All_Traffic.action IN (
        ""permitted"",
        ""built"",
        ""Accept"",
        ""Detect""
    )
    BY 
        All_Traffic.dvc,
        All_Traffic.src_ip,
        All_Traffic.action,
        All_Traffic.dest_ip, 
        All_Traffic.dest_port,
        All_Traffic.protocol
| rename All_Traffic.* AS *
| sort - count
| lookup MySubnets subnet as src_ip OUTPUT location as src_location 
| lookup MySubnets subnet as dest_ip OUTPUT location as dest_location 
| lookup WellKnownPorts port as dest_port OUTPUT description as Port_Description
| rename src_ip AS ""Source IP""
| fields dvc, ""Source IP"", src_location, action, count , dest_ip, protocol, dest_port, Port_Description , dest_location"
Firewall Ingestion Usage,,Always,24h,"index=""sim_licensing_usage_base"" idx IN (""prod_checkpoint"",""prod_cisco_asa"")
| `sim_licensing_usage_all(""idx"")`
| eval ingestion=GB 
| fields - GB volume"
Heavy Forwarder Blocking,Heavy Forwarder Analysis,Always,24h,"| tstats summariesonly=t count FROM datamodel=Network_Traffic 
WHERE sourcetype=""cp_Firewall"" 
AND All_Traffic.dest_ip IN (
    ""172.22.96.10"", 
    ""172.22.96.11"", 
    ""172.22.96.30"",
    ""172.22.96.41"", // Deployment Server
    ""172.25.96.10"", 
    ""172.25.96.11"",
    ""172.25.96.30""
)
AND NOT All_Traffic.src_ip IN (
    ""0.0.0.0"", 
    ""10.70.181.11"",
    ""10.80.181.10"",
    ""255.255.255.255""
)
AND NOT All_Traffic.dvc IN (
    ""10.60.10.252"",
    ""10.60.10.253"",
    ""10.60.73.252"",
    ""10.60.73.253"", 
    ""172.18.248.123"",
    ""172.18.248.125""
)
AND All_Traffic.action IN (""Prevent"", ""Drop"")
BY All_Traffic.src_ip, All_Traffic.action, All_Traffic.dest_ip, All_Traffic.dest_port
| rename All_Traffic.* AS *
| sort - count
| lookup MySubnets subnet as src_ip OUTPUT location as src_location 
| lookup MySubnets subnet as dest_ip OUTPUT location as dest_location 
| lookup WellKnownPorts port as dest_port OUTPUT description as Port_Description
| rename src_ip AS ""Source IP""
| fields ""Source IP"", src_location, action, count , dest_ip, dest_port, Port_Description, dest_location"
Heavy Forwarder Blocks,,Always,24h,"index=prod_checkpoint action=Drop dest_ip IN (""172.22.96.10"",""172.22.96.11"",""172.25.96.10"",""172.25.96.11"")
| stats count by index, origin, src_ip, dest_ip, dest_port, action, rule_name
| sort -count
| lookup MySubnets subnet as src_ip OUTPUT location as src_location
| lookup MySubnets subnet as dest_ip OUTPUT location as dest_location
| rename origin as Firewall
| table count, Firewall, src_ip, src_location, dest_ip, dest_port, dest_location, rule_name"
NTP Analysis,Analysis of NTP Traffic,Always,24h,"| tstats summariesonly=t count FROM datamodel=Network_Traffic 
WHERE sourcetype=""cp_Firewall"" 
AND All_Traffic.dest_port=""123"" 
AND NOT All_Traffic.dest_ip IN (
    ""0.0.0.0"",
    ""192.168.9.3"", // NTP Reading
    ""192.168.9.2"", // NTP Reading
    ""255.255.255.255""
)
AND NOT All_Traffic.src_ip IN (
    ""0.0.0.0"", 
    ""10.70.190.100"", // DC1 NTP
    ""10.80.190.100"", // DC2 NTP
    ""255.255.255.255""
)
AND NOT All_Traffic.dvc IN (
    ""10.60.10.252"", 
    ""10.60.10.253"", 
    ""10.60.73.252"", 
    ""10.60.73.253"",
    ""172.18.248.123"", 
    ""172.18.248.125""
)
AND NOT All_Traffic.action IN (""Detect"", ""Prevent"", ""Drop"")
BY All_Traffic.src_ip, All_Traffic.action, All_Traffic.dest_ip
| rename All_Traffic.* AS *
| sort - count
| lookup MySubnets subnet AS src_ip OUTPUT location AS src_location 
| lookup MySubnets subnet AS dest_ip OUTPUT location AS dest_location 
| rename src_ip AS ""Source IP""
| fields ""Source IP"", src_location, action, count, dest_ip, dest_location"
Readin Traffic,Analysis of Traffic going through the Reading Firewall,Always,24h,"| tstats summariesonly=t count FROM datamodel=Network_Traffic WHERE 
sourcetype=""cp_Firewall"" 
All_Traffic.dest_port=""*"" 
NOT All_Traffic.dest_ip IN (""0.0.0.0"", ""255.255.255.255"") 
NOT All_Traffic.src_ip IN (""0.0.0.0"", ""10.10.0.*"", ""10.10.1.*"", ""10.10.2.*"", ""10.10.3.*"", 
""10.10.4.*"", ""10.10.8.*"", ""10.10.7.*"", ""10.10.10.*"", ""10.10.15.*"", ""10.10.110.*"", ""10.10.150.18"", 
""10.10.150.37"", ""10.10.150.100"", ""10.10.150.89"", ""10.10.150.99"", ""10.10.150.10"", ""10.10.200.50"", 
""10.10.200.51"", ""10.10.150.60"", ""10.10.150.5"", ""10.10.150.4"", ""10.10.150.11"", ""192.168.40.*"", 
""192.168.9.*"", ""192.168.7.*"", ""10.10.190.*"", ""255.255.255.255"") 
NOT All_Traffic.dvc IN (""10.60.10.252"", ""10.60.10.253"", ""10.60.73.252"", ""10.60.73.253"", 
""172.18.248.123"", ""172.18.248.125"") 
NOT All_Traffic.Action IN (""Detect"", ""Prevent"", ""Drop"") 
BY All_Traffic.src_ip, All_Traffic.dest_port, All_Traffic.direction, All_Traffic.dest_ip, 
All_Traffic.action, All_Traffic.dest_translated_ip 
| rename All_Traffic.* AS * 
| sort - count 
| lookup MySubnets subnet as src_ip OUTPUT location as src_location 
| lookup MySubnets subnet as dest_ip OUTPUT location as dest_location
| lookup MySubnets subnet as dest_translated_ip OUTPUT location as final_location 
| rename src_ip AS ""Source IP"", dest_ip AS ""Destination IP"", dest_port AS Port, direction AS ""FW 
Determined Direction"" 
| fields ""Source IP"", src_location, ""Destination IP"", dest_location, Port, dest_translated_ip, 
final_location, Action, count"
Reading Traffic Clone,Analysis of Traffic going through the Reading Firewall,Always,24h,"| tstats summariesonly=t count FROM datamodel=Network_Traffic 
WHERE sourcetype=""CheckPoint_Firewall"" 
    All_Traffic.dest_port=""*"" 
    NOT All_Traffic.dest_ip IN (
        ""0.0.0.0"",
        ""255.255.255.255""
    )
    NOT All_Traffic.src_ip IN (
        ""0.0.0.0"", 
        ""10.10.0.*"",
        ""10.10.1.*"",
        ""10.10.2.*"",
        ""10.10.3.*"",
        ""10.10.4.*"",
        ""10.10.8.*"",
        ""10.10.7.*"",
        ""10.10.10.*"",
        ""10.10.15.*"",
        ""10.10.110.*"",
        ""10.10.150.18"", //Bacs Server
        ""10.10.150.37"", //Fruadstar Server
        ""10.10.150.100"", // ESX Server
        ""10.10.150.89"", // VEAM Proxy
        ""10.10.150.99"", // Trend
        ""10.10.150.10"", // Trend
        ""10.10.200.50"", // Franking Machine
        ""10.10.200.51"", // Franking Machine
        ""10.10.150.60"", // SCCM Servers
        ""10.10.150.5"", // DCC
        ""10.10.150.4"", // DCC 2k19
        ""10.10.150.11"", // File Server 02
        ""192.168.40.*"",
        ""192.168.9.*"", // NTP Subnet
        ""192.168.7.*"", // NTP Subnet
        ""10.10.190.*"", // VXRail
        ""255.255.255.255""
    )
    NOT All_Traffic.dvc IN (
        ""10.60.10.252"", ""10.60.10.253"", ""10.60.73.252"", ""10.60.73.253"", 
        ""172.18.248.123"", ""172.18.248.125""
    ) 
    NOT All_Traffic.Action IN (""Detect"", ""Prevent"", ""Drop"")
BY All_Traffic.src_ip, All_Traffic.dest_port, All_Traffic.direction, All_Traffic.dest_ip, All_Traffic.action, All_Traffic.dest_translated_ip
| rename All_Traffic.* AS * 
| sort - count
| lookup MySubnets subnet as src_ip OUTPUT location as src_location 
| lookup MySubnets subnet as dest_ip OUTPUT location as dest_location
| lookup MySubnets subnet as dest_translated_ip OUTPUT location as final_location
| rename src_ip AS ""Source IP"", dest_ip AS ""Destination IP"", dest_port AS Port, direction AS ""FW Determined Direction""
| fields ""Source IP"", src_location, ""Destination IP"", dest_location, Port, dest_translated_ip, final_location, Action, count"
Search for malicious 'logon with explicit credentials' events,,Always,24h,"index=prod_windows OR index=prod_windows_ad OR index=prod_aws EventCode=4648 src_user!=SYSTEM src_user!=""*$*"" 
| where src_user!=Account_Name 
| convert ctime(_time) as Time timeformat=""%d/%m/%y %H%M%S"" 
| stats values(Time) values(src_user) values(EventCode) values(action) values(user) values(Process_Name) values(Additional_Information) values(Account_Name) values(Security_ID) by ComputerName"
Search for net use 'logon with explicit credentials' events,,Always,24h,"(index=prod_windows OR index=prod_windows_ad OR index=prod_aws) EventCode=4648 Process_ID=0x4 src_user!=SYSTEM 
| where src_user!=Account_Name 
| convert ctime(_time) as Time timeformat=""%d/%m/%y %H%M%S"" 
| stats values(Time) values(src_user) values(EventCode) values(action) values(user) values(Process_Name) 
  values(Additional_Information) values(Account_Name) values(Security_ID) by ComputerName"
Search for remote service Interaction (utilising 'sc.exe' with explicit credentials),,Always,24h,"(index=prod_windows OR index=prod_windows_ad OR index=prod_aws) EventCode=4648 Process_Name=""*sc.exe""
| convert ctime(_time) as Time timeformat=""%d/%m/%y %H%M%S""
| stats values(Time) values(src_user) values(EventCode) values(action) values(user) values(Process_Name) values(Additional_Information) values(Account_Name) values(Security_ID) by ComputerName"
 Search to view connections to/fromseen IPS.,,Always,24h,"index=prod_cisco_asa src=150.129.8.{4,5,6,8-17,19,23-28,30-34} 
| stats earliest(_time) as Earliest latest(_time) as Latest values(dvc) as Device 
values(src_port) as Src_port values(dest_port) as Dest_port values(transport) as Transport 
values(description) as Description values(bytes) as Bytes values(Cisco_ASA_action) as Action 
values(severity_level) as Severity by src dest 
| convert ctime(Earliest) ctime(Latest)"
 Search to view hashe,,Always,24h,"index=*
  (abfa2a78b07ab43f637f2f6fd35e2e40983bb1033ba2beac9602745d5a54d257 OR
   5924160dbc013d83a07ef1a9df8503de9bc1e577 OR
   156685d32876f14d8e52bc6070004100 OR
   8dbef5f7ffa96759bd395938ed385c8cfe991f96402f900f0a571c844c7fb78d OR
   f9914b360284b987ab21f56aea9f6153fac23b84 OR
   25a50b573de8f82bf8d5b29386fb94d7 OR
   ac41e98905b8d5ca7ab3a06b3aa32fdabcbd31344f8b846d5062d3c3f9cf2942 OR
   f43349174986cc31754b6c48627dd67af05352ab OR
   5b8f8c6d171cb1b2e10d4264f5c3d9e6 OR
   9b7ce9e9799f2c0c6357179d6ebd8c70380b783daf120302c3c21b41a9a6d5c5 OR
   f07ddc53210435ca7fc1ef77577b058addcd63ce OR
   131ab3e4ec47ff73ad99d9b3ab9bc00b OR
   7190e8b5494bdbded7b48026eb7a0a51e103f7ef937f98c9cf91c344579e95f9 OR
   57e9c9f4b40ccd0a26dba3cdea0dd91f118fc1c9 OR
   7d758edc08b4fa1fd16a1c251306187c OR
   acce6fbf738203f7a7a33b2ffb0d1fc48f718792d783dac0aec2112ab0f1a13e OR
   0acbf782d01cf6ab3a797fd929e60da4b34e6876 OR
   4ca19cafb8b2f762637ffd255070b84e)"
 Search to view processes,,Always,24h,index=prod_servicenow OR index=prod_windows (999.exe OR 888.exe OR 777.exe OR netscan6405.exe)
 Search for process doppelgÃ¤nging,,Always,24h,"(index=prod_windows OR index=prod_windows_ad OR index=prod_aws) EventCode=4985 Logon_ID!=0x3E7 
Process_Name NOT IN (""c\\windows\\system32\\svchost.exe"", ""c\\windows\\servicing\\TrustedInstaller.exe"", 
""c\\windows\\system32\\lsass.exe"", ""c\\windows\\winSxS\\*\\TiWorker.exe"", ""c\\windows\\system32\\poqexec.exe"") 
| convert ctime(_time) as Time timeformat=""%d/%m/%y %H%M%S""
| stats values(ComputerName) values(Process_Name) values(Logon_ID) values(action) values(user) 
values(Process_ID) values(name) values(category) values(Account_Domain) values(Security_ID) by Time"
 Search for password related subject,,Always,24h,"index=prod_mimecast subject=""Your message couldn't be delivered"" Sender=""test.test@testa.co.uk"" Rcpt=""test.test@testb.co.uk"" 
| stats count values(Sender) values(Rcpt) by subject Delivered"
 While investigating threat hunt some further activity was identified.,,Always,24h,"index=* (""%APPDATA%\pid.txt"" OR ""%APPDATA%\pidloc.txt"" OR ""%TEMP%\holdermail.txt"" OR 
""%TEMP%\holderwb.txt"" OR ""\Sys.exe"" OR ""\autorun.inf"" OR ""E\autorun.inf"" OR ""%TEMP%\SysInfo.txt"" OR 
""%APPDATA%\Wind"
 Search for files,,Always,24h,"index=* (""C\Users\<user>\AppData\Roaming\pid.txt"" OR ""C\Users\<user>\AppData\Roaming\pidloc.txt"" OR 
""C\Users\<user>\AppData\Local\Temp\holdermail.txt"" OR ""C\Users\<user>\AppData\Local\Temp\holderwb.txt"" OR 
""\Sys.exe"" OR ""\autorun.inf"" OR ""E\autorun.inf"" OR ""C\Users\<user>\AppData\Local\Temp\SysInfo.txt"" OR 
""C\Users\<user>\AppData\Roaming\Windows Update.exe"" OR ""E\Sys.exe"" OR 
""C\Users\<user>\AppData\Local\Temp\subfolder"" OR 
""C\Users\<user>\AppData\Local\Temp\subfolder\filename.exe"" OR 
""C\Users\<user>\AppData\Local\Temp\subfolder\filename.vbs"" OR 
""C\Users\<user>\AppData\Local\Microsoft\Windows\WebCache\WebCacheV01.tmp"" OR 
""C\Users\<user>\AppData\Roaming\WindowsUpdate.exe"")"
 Search for hashes,,Always,24h,"index=* (0d4e850f6a4dfa6dc74f8770d6293c37a2a1df3bcf8bbac8ed5eebd7041cdf2e OR
          4496ce4c4eb7baa7ba7cac5a30d632db25143d89462ee4a885fbaf3752caec8d OR
          5983ce394d98d07d267d563496f4d444eaeb17e5fd9d2dd517b92145598d27ec OR
          5c2d0070ab7f93ddee20bbb6f38e60d994bcc3e256658c31a6ce8a033767a81e OR
          7d8dafc1e315b3adf788763ad0792e1c6e3cc0925f80b5bde41509858470b432 OR
          88f75d07e5f0b4f18651380e891d02b4980de66351c97a7bd766a9e6065452d8 OR
          93b1a9aa9be7e72eaed6ba8de581f9e73020fe70f021912e2e3ec956bd5171d9 OR
          94a3fbed738a7683435d72e0082c6c56a8472fb289ecda7e93055d69fb7f0117 OR
          dcab4d6f0691ce5b507470e879ffb9abfbe4039a52ebe0f4d5293e901c53e458 OR
          f264c1d4f641bb0063a6760ac36dcf6df08f01398bdf013e70ce14bfeea0322e)"
 Search to identify web shell URIs via anomalous IP address access,,Always,24h,"index=*
| fillnull value=- 
| search status>=""200"" status<=""300"" uri!="""" clientip!=""""
| stats dc(useragent) as dc_user_agent values(useragent) as values_user_agent dc(clientip) as dc_src values(clientip) as values_src count by uri 
| search dc_src<=5 OR dc_user_agent<=5 
| table uri dc_user_agent values_user_agent dc_src values_src"
 Search to Identify Domains/Hostnames/URLs (30 days),,Always,24h,"index=*
(80674fb8973e2a7ee31596d9105d1d897a92f7bbcbf6f07b3bf7a9444f71ca9c 
OR 93374f99070affdf3c298c152fc33694 
OR 0793ce8600d84be1e9330ce243da55756a6e24e5 
OR bf8d0fc2065cdf22ebaba1265ecbe4c4b44c0108)"
 Search to identify Hashes (30 days),,Always,24h,"index=* (80674fb8973e2a7ee31596d9105d1d897a92f7bbcbf6f07b3bf7a9444f71ca9c 
OR 93374f99070affdf3c298c152fc33694 
OR 0793ce8600d84be1e9330ce243da55756a6e24e5 
OR bf8d0fc2065cdf22ebaba1265ecbe4c4b44c0108)"
 Search to Identify IPS (30 days),,Always,24h,"| tstats summariesonly=t count min(_time) as firstTime max(_time) as lastTime from datamodel=Network_Traffic where All_Traffic.dest_ip IN (""5.196.108.185"", ""200.116.145.225"", ""96.126.101.6"") by All_Traffic.src_ip, All_Traffic.dest_ip"
 Search to identify any file hash hits (30 days),,Always,24h,"index=* (207793677b889bf22c8f28120df0ab1cca69e23eb5213bfda5b474a0472f3fff OR
          2263c1eb4d302492f261a35f02ac9257baaa1a1d8f0c0025459aef18dfde14e9 OR
          34d6f25484edc517676af1b474d0dcc9fdf8277585206f3dfe1b9dc41a8e1d30 OR
          52818de60a1238d208ec65ca00ae14d152ce2707104b02b9bb662533c33f9b80 OR
          5d7810ab55189a068ae5ceef92f5d95ea105716f7abb7fdaa8db368bcc997c04 OR
          8f5c02d7501229d5a06f864a936a76552fa03688860533ac46de9b1a881599db OR
          9fdd46b8fac611813d0610ddc9a74be2534552f84037a021f2111f8cfcd02669 OR
          c702947e68cebfde3eafa8b78711ba0c536e44912d7b4984a9055aa22d7ccedf OR
          ca72d0ae5eb6e9e50fad7cea56c5048dc738024ed13750da83040fe0a5984101 OR
          cb01f4749caef72ea8aaf8c166aa5b572f8bd5295779500cb0e5e8f1a2c38dc9 OR
          cd669d8bc591e23169c703f49a20d7446a8a6db51c959334e9a5a6650882703e OR
          d8b62bc60696d110df3d97c4ebcb5d2bd0a0c0445ce4a86a5a86c7e494f4c8d0 OR
          e0d5bc01f2e3465b7dce3eb791b7e455a7bbd2c109a604312384d99e93f9b6b4 OR
          ef804ddc84810a362e4c70f3bc1eb1650254acaabe33ffe9e1ed65a6ddd82067 OR
          f023618b0b87c2b9c5115bfd3342c694564219757c1b5125c042f5a0f17ae682 OR
          f8c1f6de0ec2d17ad26aae9fa2c5a33a9105cda60251cc388bd4c2c624d738e4)"
 Search to Identify IP traffic (30 days),,Always,24h,"(index=prod_cisco_asa OR index=prod_checkpoint) (ip=""209.68.32.176"" OR ip=""114.140.13.110"" OR ip=""64.184.203.87"" OR ip=""66.74.65.21"" OR ip=""75.69.92.137"" OR ip=""173.161.53.61"" OR ip=""67.82.249.90"" OR ip=""71.87.111.92"" OR ip=""75.64.22.81"" OR ip=""181.47.5.125"" OR ip=""95.111.225.124"" OR ip=""181.165.92.121"" OR ip=""118.168.183.114"" OR ip=""125.58.66.125"" OR ip=""61.227.47.110"" OR ip=""24.166.59.97"" OR ip=""71.97.99.170"" OR ip=""1.160.225.1"" OR ip=""68.230.236.85"" OR ip=""97.104.42.173"" OR ip=""111.248.215.43"" OR ip=""178.158.65.14"" OR ip=""114.162.146.65"" OR ip=""190.181.207.76"" OR ip=""24.181.13.254"")"
