Title,Description,Alert Type,Alert Expires,Search 
 Search for process doppelgÃ¤nging,"This Splunk search query is designed to search and analyze data from different indexes (prod_windows, prod_windows_ad, and prod_aws) for Windows EventCode 4985, which is related to a user's login attempt. It then filters out logon events with a specific Logon_ID value, and also filters out specific process names.

Finally, it converts the time format to human-readable format and applies statistical analysis to the results, grouping them by time to show the values for different fields such as ComputerName, Process_Name, Logon_ID, action, user, Process_ID, name, category, Account_Domain, and Security_ID.

In summary, this search query is intended to find login attempts from specific indexes, filter out logon events with a specific Logon_ID value, and then analyze the data by grouping them based on time and various fields. This can be helpful in identifying potential security threats or suspicious activities.",Always,24h,"(index=prod_windows OR index=prod_windows_ad OR index=prod_aws) EventCode=4985 Logon_ID!=0x3E7 
Process_Name NOT IN (""c\\windows\\system32\\svchost.exe"", ""c\\windows\\servicing\\TrustedInstaller.exe"", 
""c\\windows\\system32\\lsass.exe"", ""c\\windows\\winSxS\\*\\TiWorker.exe"", ""c\\windows\\system32\\poqexec.exe"") 
| convert ctime(_time) as Time timeformat=""%d/%m/%y %H%M%S""
| stats values(ComputerName) values(Process_Name) values(Logon_ID) values(action) values(user) 
values(Process_ID) values(name) values(category) values(Account_Domain) values(Security_ID) by Time"
 Search for rare service installation,"This Splunk search query does the following:

It searches the indexes ""prod_windows"", ""prod_windows_ad"", and ""prod_aws"" for events with EventCode=7045.
It calculates a count of the events for each unique value of Service_File_Name.
It filters out any results where the count of events for a particular Service_File_Name is less than 5.
It converts the _time field to a human-readable format, with the date and time displayed as DD/MM/YY HH:MM:SS.
Finally, it groups the results by ComputerName and displays the values of several fields (EventCode, Sid, OpCode, Service_Name, Service_File_Name, Service_Start_Type, and Service_Type) for each unique combination of ComputerName and Service_File_Name.
Overall, this query searches for Windows services that have been started or stopped on multiple computers, and identifies any services that have started or stopped fewer than 5 times on a given computer. It then groups the results by computer and service, providing details about each service, such as its name, type, and start type.",Always,24h,"index=prod_windows OR index=prod_windows_ad OR index=prod_aws EventCode=7045 
| eventstats count as val by Service_File_Name 
| search val < 5 
| convert ctime(_time) as Time timeformat=""%d/%m/%y %H%M%S"" 
| stats values(Time) values(EventCode) values(Sid) values(OpCode) values(Service_Name) values(Service_File_Name) values(Service_Start_Type) values(Service_Type) by ComputerName"
 Search for service creation using external resources/utilities (psexec family),"This Splunk search query searches for events with EventCode=5145 in three different indexes (prod_windows, prod_windows_ad, and prod_aws). It then uses the transaction command to group events based on the Account_Name and ComputerName fields, where the event starts with an EventCode=5145 and Accesses includes ""WriteData"", and ends with an EventCode=5145 and the Relative_Target_Name includes ""\IPC$"" and ""svcctl"". The maxspan argument specifies a maximum time span of 1 minute for the transaction grouping.

The search results are then converted using the convert command to display the _time field as a human-readable format, and the stats command is used to aggregate the results by ComputerName. The fields displayed in the output include Time, user, Source_Network_Address, EventCode, Share_Name, action, Accesses, Security_ID, and Relative_Target_Name.",Always,24h,"(index=prod_windows OR index=prod_windows_ad OR index=prod_aws) EventCode=5145 
| transaction Account_Name ComputerName 
  startswith=(EventCode=5145 (""*\ADMIN$"" OR ""*\C$"") Accesses=""*WriteData*"") 
  endswith=(EventCode=5145 ""*\IPC$"" ""*svcctl*"") maxspan=1m 
| convert ctime(_time) as Time timeformat=""%d/%m/%y %H%M%S"" 
| stats values(Time) values(user) values(Source_Network_Address) values(EventCode) 
  values(Share_Name) values(action) values(Accesses) values(Security_ID) 
  values(Relative_Target_Name) by ComputerName"
 Search for standard remote service creation (Windows Builtin),"This Splunk search query searches through three different indexes (prod_windows, prod_windows_ad, prod_aws) for events with specific event codes: 5156, 7045, and 4697.

It then groups the events by the ""Service_Name"" and the time the events occurred, using the transaction command to group all events related to a particular service together. The maxspan argument sets the maximum duration of a transaction to 1 minute.

The convert command changes the timestamp format to a more readable format, and the stats command returns a table with aggregated values of the specified fields (EventCode, ComputerName, TaskCategory, Service_File_Name, Service_Start_Type, Service_Type) grouped by Service_Name and Time.

Overall, this query can be used for monitoring and troubleshooting of service-related issues in Windows and AWS environments.",Always,24h,"(index=prod_windows OR index=prod_windows_ad OR index=prod_aws) 
(EventCode=5156 ""*services.exe"" OR EventCode=7045 OR EventCode=4697) 
| transaction ComputerName startswith=(EventCode=5156) endswith=(EventCode=7045 OR EventCode=4697) maxspan=1m 
| convert ctime(_time) as Time timeformat=""%d/%m/%y %H%M%S"" 
| stats values(EventCode) values(ComputerName) values(TaskCategory) values(Service_File_Name) values(Service_Start_Type) values(Service_Type) by Service_Name Time"
 Search for suspicious Domains (30 Days),"This Splunk search query is looking for data related to web activity that matches the specified criteria.

The first line of the query uses the tstats command to perform statistical analysis on data in the ""Web"" datamodel. It selects the minimum time stamp (as ""Time""), the unique values of the ""Web.user"" field (as ""user""), the unique values of the ""Web.dest"" field (as ""dest""), the unique values of the ""Web.http_method"" field (as ""method""), the unique values of the ""Web.url"" field (as ""url""), the unique values of the ""Web.http_referrer"" field (as ""referrer""), the unique values of the ""Web.http_user_agent"" field (as ""userAgent""), the unique values of the ""Web.category"" field (as ""category""), and the unique values of the ""Web.action"" field (as ""action"").

The second line specifies the criteria that the data must meet. The ""where"" clause filters the data to only include events where the ""Web.dest"" field matches any value (using the wildcard character """") and the ""Web.url"" field matches one of the specified values. Additionally, the ""Web.http_referrer"" field must match any value (using the wildcard character """").

The third line uses the ""fields"" command to select only the specified fields for display.

The final line uses the ""convert"" command to convert the ""Time"" field to a human-readable timestamp format.",Always,24h,"| tstats min(_time) as Time values(Web.user) as user, values(Web.dest) as dest, 
  values(Web.http_method) as method, values(Web.url) as url, values(Web.http_referrer) as referrer, 
  values(Web.http_user_agent) as userAgent, values(Web.category) as category, values(Web.action) as 
  action from datamodel=Web 
  where Web.dest in (*) and Web.url IN (""*sctask.smartconnexxionz.com*"",
  ""*medicalconsultants.ie*"",
  ""*mmogollon.com.mx*"",
  ""*laboratoriostabbler.com*"",
  ""*urban-mosaic.com*"",
  ""*kezto.co.uk*"",
  ""*atwebpages.com*"",
  ""*maapaaevents.com*"",
  ""*truxiellogroup.com*"",
  ""*wexfashion.com*"",
  ""*caledoniehousesitting.com*"",
  ""*tcet-talk.info*"",
  ""*opinionglobal.com.do*"",
  ""*payments.amadike.com*"",
  ""*nec-i.com*"",
  ""*du-wizards.com*"",
  ""*ppdb-legacy.man1lamongan.com*"",
  ""*motobuin.eltipodelasfotos.cl*"",
  ""*riveroakshyundaikia.com*"",
  ""*crudtest.srintegrated.com*"",
  ""*busandvanrentalmalaysia.com*"",
  ""*allstagingwork.com*"",
  ""*tootaldeals.com*"",
  ""*indabol.com.bo*"",
  ""*olebaby.in*"",
  ""*tootaldeals.com*"",
  ""*binhanbal.com*"",
  ""*bookallon.com*"",
  ""*artismc.in*"",
  ""*t-o-u-c-h-s-m-a-r-t.com*"",
  ""*osmosisecuador.com*"",
  ""*bulksms.interweblimited.com*"",
  ""*sistacweb.com*"") 
  and Web.http_referrer in (*) 
  by Web.url 
| fields Time, user, dest, url, method, referrer, userAgent, category, action 
| convert ctime(Time)"
 Search for suspicious Files (30 Days),"This Splunk search query searches for events that match certain criteria within the specified indexes. Specifically, it searches for events that are within the indexes prod_checkpoint, prod_cisco*, prod_o365, prod_windows, and prod_sophos*, and that contain one of the specified file names (INV0737559499-20210111480893.xlsm, INV1906204175-20210111877440.xlsm, INV1998174535-20210111804169.xlsm, INV4808261243-20210111191030.xlsm, INV8164713354-20210111643874.xlsm, INV9617285161-20210111842813.xlsm, INV1788514716-20210111553807.xlsm).

In summary, the query is looking for specific files within specific indexes.",Always,24h,"index IN (prod_checkpoint, prod_cisco*, prod_o365, prod_windows, prod_sophos*) 
AND (""INV0737559499-20210111480893.xlsm"" OR ""INV1906204175-20210111877440.xlsm"" OR 
""INV1998174535-20210111804169.xlsm"" OR ""INV4808261243-20210111191030.xlsm"" OR 
""INV8164713354-20210111643874.xlsm"" OR ""INV9617285161-20210111842813.xlsm"" OR 
""INV1788514716-20210111553807.xlsm"")"
 Search for suspicious Hashes (30 Days),"The Splunk search query you provided searches across multiple indexes (prod_checkpoint, prod_cisco*, prod_o365, prod_windows, and prod_sophos*) for events that contain either ""fa5350d4304c4c2ceafa435244b5a5fc"" or ""9b7c2b0abf5478ef9a23d9a9e87c7835"".

The OR operator between the index names specifies that the search should return results from any of these indexes, while the asterisk (*) is a wildcard character used to match any index that starts with ""prod_cisco"" or ""prod_sophos"".

The parentheses group the two search terms together, indicating that the search should return events that contain either of these two terms.

Overall, this search query looks for events across multiple indexes that contain either of the two specified strings, which may be relevant in a security investigation or troubleshooting scenario.",Always,24h,"index=prod_checkpoint OR index=prod_cisco* OR index=prod_o365 OR index=prod_windows OR index=prod_sophos* 
(""fa5350d4304c4c2ceafa435244b5a5fc"" OR ""9b7c2b0abf5478ef9a23d9a9e87c7835"")"
 Search for URLs,"This Splunk search query looks for events in three different indexes - prod_checkpoint, prod_cisco_asa, and prod_censornet. The query then searches for any events that contain one of the specified strings within their data.

The strings being searched for are ""bighecks.net"", ""imageshells.com"", ""sonic4us.ru"", ""www.yahgodz.com"", and ""www.update.microsoft.com.nsatc.net"". The asterisks (*) act as wildcards, meaning that any characters can appear before or after the specified string.

Overall, this search query is used to look for events within the specified indexes that contain any of the specified strings, which may be helpful for identifying potentially suspicious or malicious activity related to these domains.",Always,24h,"index=prod_checkpoint OR index=prod_cisco_asa OR index=prod_censornet 
(""*bighecks.net*"" OR ""*imageshells.com*"" OR ""*sonic4us.ru*"" OR ""*www.yahgodz.com*"" OR ""*www.update.microsoft.com.nsatc.net*"")"
 Search to Detect Authentication Bypass (90d),"The Splunk search query you provided performs a search on data indexed in the ""test_windows_iis"" index that has a sourcetype of ""msiisauto"" and matches the following criteria:

http_method is ""POST""
uri_path starts with ""/owa/auth/Current/themes/resources/""
The search then uses the ""stats"" command to aggregate the results and produces a table with the count of occurrences grouped by the following fields:

src_ip: the IP address of the client that sent the request
http_user_agent: the user agent string of the client's web browser
uri_path: the path component of the requested URI
http_method: the HTTP method used in the request (in this case, ""POST"")
uri_query: the query string component of the requested URI (this field is not explicitly used in the query, but it will be included in the results if it is present in the data).",Always,24h,"index=test_windows_iis sourcetype=""msiisauto"" http_method=POST uri_path=""/owa/auth/Current/themes/resources/*""
| stats count by src_ip, http_user_agent, uri_path, http_method, uri_query"
 Search to detect Exchange Unified Messaging Service Creating Child Process (90d),"The Splunk search query searches for events in three different indexes: ""prod_windows"", ""prod_windows_ad"", and ""test_windows_iis"". The events should have a ParentProcessName field that contains either ""umworkerprocess.exe"" or ""UMService.exe"", but the NewProcessName field should not contain ""UMWorkerProcess.exe"".

More specifically, the query is looking for events where the ParentProcessName field contains either ""umworkerprocess.exe"" or ""UMService.exe"" and the NewProcessName field does not contain ""UMWorkerProcess.exe"". The OR operator between the index values means that events from any of the three indexes will be returned if they meet the search criteria. The asterisks in the search terms indicate that the search is looking for any string that includes ""umworkerprocess.exe"", ""UMService.exe"", or ""UMWorkerProcess.exe"". The NOT operator before ""NewProcessName"" means that events that have ""UMWorkerProcess.exe"" in the NewProcessName field will be excluded from the search results.",Always,24h,"index=prod_windows OR index=prod_windows_ad OR index=test_windows_iis 
(ParentProcessName=""*umworkerprocess.exe*"" OR ParentProcessName=""*UMService.exe*"") NOT 
NewProcessName=""*UMWorkerProcess.exe*"""
 Search to Detect Powercat (90d),"This Splunk search query searches for events in the ""WinEventLog"" sourcetype with an EventCode of 4104 and containing the string ""powercat"" in any of the fields from the specified indexes: ""prod_windows"", ""prod_windows_ad"", and ""test_windows_iis"".

In other words, the query looks for Windows event logs related to the powercat utility, which is a PowerShell-based tool used for penetration testing and network reconnaissance.

The query filters the results to only include events from the specified indexes, which are likely related to Windows servers or workstations in a production or testing environment.",Always,24h,"index IN (prod_windows, prod_windows_ad, test_windows_iis) sourcetype=""WinEventLog"" EventCode=4104 
""*powercat*"""
 Search to Detect WebShells (90d),"This Splunk search query searches the ""test_windows_iis"" index for events that have a sourcetype of ""msiisauto"" and an HTTP method of POST, with a status code less than or equal to 403. It then filters these events based on whether the URI query contains one of the following file extensions: .php, .jsp, .cfm, .asp, or .aspx.

After filtering the events, it uses the stats command to aggregate the results by the source IP, HTTP user agent, URI path, HTTP method, and URI query. The count of events for each unique combination of these fields is then displayed in the output.

Overall, this search query is designed to identify potentially suspicious HTTP requests made to a web server, particularly those that involve specific file extensions that are commonly used for dynamic web pages.",Always,24h,"index=test_windows_iis sourcetype=""msiisauto"" http_method=POST status<=403 (uri_query=*.php OR uri_query=*.jsp OR uri_query=*.cfm OR uri_query=*.asp OR uri_query=*.aspx)
| stats count by src_ip, http_user_agent, uri_path, http_method, uri_query"
